Category: All categories

DMA,ccp virus: (1/1/20 - 12/31/21)
Anchorage AK,100
Sioux Falls(Mitchell) SD,77
Columbus GA,77
Honolulu HI,66
Charleston-Huntington WV,61
South Bend-Elkhart IN,55
San Diego CA,50
Spokane WA,44
San Francisco-Oakland-San Jose CA,38
Los Angeles CA,38
Seattle-Tacoma WA,38
Harrisburg-Lancaster-Lebanon-York PA,38
Phoenix AZ,33
Portland OR,27
Denver CO,27
Salt Lake City UT,27
Kansas City MO,27
Minneapolis-St. Paul MN,27
Albany-Schenectady-Troy NY,27
Sacramento-Stockton-Modesto CA,27
Birmingham AL,27
San Antonio TX,27
Philadelphia PA,27
Providence RI-New Bedford MA,27
Washington DC (Hagerstown MD),27
Austin TX,27
Memphis TN,27
Miami-Ft. Lauderdale FL,22
St. Louis MO,22
New York NY,22
Greenville-Spartanburg SC-Asheville NC-Anderson SC,22
Baltimore MD,22
Atlanta GA,22
Houston TX,22
Orlando-Daytona Beach-Melbourne FL,22
Pittsburgh PA,22
Chicago IL,22
Detroit MI,22
Las Vegas NV,22
Dallas-Ft. Worth TX,22
Hartford & New Haven CT,22
Boston MA-Manchester NH,22
Charlotte NC,22
Nashville TN,16
Raleigh-Durham (Fayetteville) NC,16
Milwaukee WI,16
Tampa-St. Petersburg (Sarasota) FL,16
Indianapolis IN,16
Norfolk-Portsmouth-Newport News VA,16
Columbus OH,16
Cleveland-Akron (Canton) OH,16
Portland-Auburn ME,
Monroe LA-El Dorado AR,
Marquette MI,
Wheeling WV-Steubenville OH,
Syracuse NY,
Richmond-Petersburg VA,
Knoxville TN,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Lansing MI,
Jacksonville FL,
Grand Rapids-Kalamazoo-Battle Creek MI,
Wilmington NC,
Elmira NY,
Watertown NY,
West Palm Beach-Ft. Pierce FL,
Harrisonburg VA,
Florence-Myrtle Beach SC,
Ft. Myers-Naples FL,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Salisbury MD,
Wilkes Barre-Scranton PA,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
Toledo OH,
Gainesville FL,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Corpus Christi TX,
Columbia SC,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Dothan AL,
Greenville-New Bern-Washington NC,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Shreveport LA,
Springfield-Holyoke MA,
Dayton OH,
Lexington KY,
Traverse City-Cadillac MI,
Springfield MO,
New Orleans LA,
Rochester NY,
Sioux City IA,
Waco-Temple-Bryan TX,
Victoria TX,
Wichita Falls TX & Lawton OK,
Bangor ME,
Binghamton NY,
Ottumwa IA-Kirksville MO,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Odessa-Midland TX,
Amarillo TX,
Youngstown OH,
Harlingen-Weslaco-Brownsville-McAllen TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
St. Joseph MO,
Jackson TN,
Tri-Cities TN-VA,
Tallahassee FL-Thomasville GA,
Lafayette LA,
Lake Charles LA,
Alexandria LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Oklahoma City OK,
Lubbock TX,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Green Bay-Appleton WI,
Louisville KY,
Presque Isle ME,
Abilene-Sweetwater TX,
Madison WI,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Peoria-Bloomington IL,
Duluth MN-Superior WI,
Wichita-Hutchinson KS,
Des Moines-Ames IA,
Davenport IA-Rock Island-Moline IL,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Minot-Bismarck-Dickinson(Williston) ND,
Huntsville-Decatur (Florence) AL,
Beaumont-Port Arthur TX,
Little Rock-Pine Bluff AR,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Jackson MS,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Utica NY,
Jonesboro AR,
Bowling Green KY,
Mankato MN,
North Platte NE,
Albany GA,
Burlington VT-Plattsburgh NY,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Augusta GA,
Colorado Springs-Pueblo CO,
Charleston SC,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Boise ID,
Idaho Falls-Pocatello ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
El Paso TX,
Helena MT,
Casper-Riverton WY,
Greensboro-High Point-Winston Salem NC,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Tucson (Sierra Vista) AZ,
Albuquerque-Santa Fe NM,
Glendive MT,
Bakersfield CA,
Eugene OR,
Eureka CA,
Erie PA,
Palm Springs CA,
Cincinnati OH,
Yakima-Pasco-Richland-Kennewick WA,
Reno NV,
Medford-Klamath Falls OR,
Buffalo NY,
Flint-Saginaw-Bay City MI,
Bend OR,
Ft. Wayne IN,
Monterey-Salinas CA,
Savannah GA,
Santa Barbara-Santa Maria-San Luis Obispo CA,
Macon GA,
Fresno-Visalia CA,
Chico-Redding CA,
San Angelo TX,
