Category: All categories

DMA,china virus: (1/1/20 - 12/31/21)
Juneau AK,100
San Francisco-Oakland-San Jose CA,84
Honolulu HI,84
Los Angeles CA,75
Twin Falls ID,73
Palm Springs CA,73
Cheyenne WY-Scottsbluff NE,72
Seattle-Tacoma WA,72
Anchorage AK,72
Ft. Myers-Naples FL,71
Monterey-Salinas CA,69
New York NY,69
Miami-Ft. Lauderdale FL,68
Missoula MT,68
Portland-Auburn ME,67
Elmira NY,66
Flint-Saginaw-Bay City MI,66
Columbia-Jefferson City MO,65
Medford-Klamath Falls OR,65
Fairbanks AK,64
Santa Barbara-Santa Maria-San Luis Obispo CA,64
West Palm Beach-Ft. Pierce FL,64
Odessa-Midland TX,63
Spokane WA,63
Las Vegas NV,63
Yuma AZ-El Centro CA,62
Marquette MI,62
Boston MA-Manchester NH,62
San Diego CA,62
Minot-Bismarck-Dickinson(Williston) ND,61
Bakersfield CA,61
Wilkes Barre-Scranton PA,61
Boise ID,61
Philadelphia PA,60
Charleston-Huntington WV,60
Albuquerque-Santa Fe NM,60
Montgomery (Selma) AL,60
Dallas-Ft. Worth TX,59
Wausau-Rhinelander WI,59
Providence RI-New Bedford MA,59
Chicago IL,59
Lafayette IN,59
Phoenix AZ,59
Sherman TX-Ada OK,59
Springfield-Holyoke MA,59
Utica NY,58
Harrisburg-Lancaster-Lebanon-York PA,58
Green Bay-Appleton WI,58
Yakima-Pasco-Richland-Kennewick WA,57
Rochester MN-Mason City IA-Austin MN,57
Sacramento-Stockton-Modesto CA,57
Washington DC (Hagerstown MD),57
Erie PA,57
Johnstown-Altoona PA,57
Lansing MI,57
Burlington VT-Plattsburgh NY,57
Houston TX,57
Tucson (Sierra Vista) AZ,56
Hartford & New Haven CT,56
Portland OR,56
Peoria-Bloomington IL,56
Bangor ME,56
Springfield MO,56
South Bend-Elkhart IN,56
Charlottesville VA,55
Bend OR,55
Reno NV,55
Wichita-Hutchinson KS,55
Rochester NY,55
Pittsburgh PA,55
Detroit MI,55
Salt Lake City UT,55
Eureka CA,55
Youngstown OH,54
Orlando-Daytona Beach-Melbourne FL,54
Panama City FL,54
Binghamton NY,54
Colorado Springs-Pueblo CO,54
Chico-Redding CA,54
Lincoln & Hastings-Kearney NE,54
Cincinnati OH,54
Buffalo NY,54
Roanoke-Lynchburg VA,54
