Category: All categories

DMA,chinese virus: (1/1/20 - 12/31/21)
Charlottesville VA,100
Honolulu HI,91
San Francisco-Oakland-San Jose CA,88
Lafayette IN,80
Casper-Riverton WY,80
Marquette MI,78
New York NY,78
Anchorage AK,77
Seattle-Tacoma WA,77
Los Angeles CA,76
Boston MA-Manchester NH,71
Providence RI-New Bedford MA,70
Eugene OR,70
Butte-Bozeman MT,70
Burlington VT-Plattsburgh NY,70
San Diego CA,68
Binghamton NY,67
Sacramento-Stockton-Modesto CA,66
Washington DC (Hagerstown MD),66
Portland OR,66
Hartford & New Haven CT,65
Albany-Schenectady-Troy NY,65
Ft. Myers-Naples FL,65
Fargo-Valley City ND,65
Santa Barbara-Santa Maria-San Luis Obispo CA,65
Detroit MI,65
Watertown NY,64
Philadelphia PA,63
Clarksburg-Weston WV,63
Yuma AZ-El Centro CA,62
Lake Charles LA,62
Wilkes Barre-Scranton PA,61
Monterey-Salinas CA,61
Miami-Ft. Lauderdale FL,61
Madison WI,61
Traverse City-Cadillac MI,60
Springfield-Holyoke MA,60
Sherman TX-Ada OK,60
Wausau-Rhinelander WI,60
Pittsburgh PA,60
Phoenix AZ,58
Tampa-St. Petersburg (Sarasota) FL,58
Las Vegas NV,58
Chicago IL,57
Champaign & Springfield-Decatur IL,57
Gainesville FL,57
Elmira NY,57
Medford-Klamath Falls OR,57
Denver CO,57
Peoria-Bloomington IL,56
Cincinnati OH,56
Colorado Springs-Pueblo CO,56
Spokane WA,56
Lincoln & Hastings-Kearney NE,56
Buffalo NY,56
Laredo TX,56
"Billings, MT",55
Orlando-Daytona Beach-Melbourne FL,55
Boise ID,55
Bowling Green KY,55
Richmond-Petersburg VA,54
Chico-Redding CA,54
West Palm Beach-Ft. Pierce FL,54
Huntsville-Decatur (Florence) AL,54
Austin TX,54
Davenport IA-Rock Island-Moline IL,54
Harrisburg-Lancaster-Lebanon-York PA,54
Reno NV,54
Baltimore MD,54
Minneapolis-St. Paul MN,54
Panama City FL,53
Waco-Temple-Bryan TX,53
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,53
Houston TX,53
New Orleans LA,53
Tucson (Sierra Vista) AZ,53
Columbia-Jefferson City MO,53
Jacksonville FL,53
Erie PA,52
Palm Springs CA,52
Cleveland-Akron (Canton) OH,52
Quincy IL-Hannibal MO-Keokuk IA,51
Kansas City MO,51
San Antonio TX,51
Harrisonburg VA,51
Greenville-New Bern-Washington NC,51
Salt Lake City UT,51
Johnstown-Altoona PA,51
Raleigh-Durham (Fayetteville) NC,51
Rockford IL,51
St. Louis MO,50
Lansing MI,50
Albuquerque-Santa Fe NM,50
Salisbury MD,48
Charleston SC,48
Oklahoma City OK,48
Dallas-Ft. Worth TX,48
Corpus Christi TX,47
Indianapolis IN,47
Greensboro-High Point-Winston Salem NC,47
Atlanta GA,47
Yakima-Pasco-Richland-Kennewick WA,47
Norfolk-Portsmouth-Newport News VA,47
Ft. Smith-Fayetteville-Springdale-Rogers AR,47
Florence-Myrtle Beach SC,47
Tyler-Longview(Lufkin & Nacogdoches) TX,47
Columbus OH,47
Tulsa OK,46
Youngstown OH,46
South Bend-Elkhart IN,46
Toledo OH,46
Savannah GA,46
Grand Rapids-Kalamazoo-Battle Creek MI,46
Bend OR,46
Charlotte NC,46
Dayton OH,46
Portland-Auburn ME,46
Chattanooga TN,45
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,45
Missoula MT,45
Topeka KS,45
Lexington KY,45
Knoxville TN,45
Omaha NE,45
Fresno-Visalia CA,45
Birmingham AL,45
Milwaukee WI,45
Wichita-Hutchinson KS,45
Syracuse NY,44
Springfield MO,44
Roanoke-Lynchburg VA,44
Rochester MN-Mason City IA-Austin MN,44
La Crosse-Eau Claire WI,43
Tri-Cities TN-VA,43
Nashville TN,43
Mobile AL-Pensacola (Ft. Walton Beach) FL,42
Green Bay-Appleton WI,42
Duluth MN-Superior WI,42
Charleston-Huntington WV,42
Minot-Bismarck-Dickinson(Williston) ND,42
Bakersfield CA,42
Wilmington NC,42
Shreveport LA,42
Odessa-Midland TX,41
Idaho Falls-Pocatello ID,41
Louisville KY,41
Greenville-Spartanburg SC-Asheville NC-Anderson SC,41
Flint-Saginaw-Bay City MI,41
Baton Rouge LA,40
Rochester NY,40
Tallahassee FL-Thomasville GA,40
Joplin MO-Pittsburg KS,38
Evansville IN,38
Utica NY,38
Bangor ME,37
Lubbock TX,37
Biloxi-Gulfport MS,36
Wichita Falls TX & Lawton OK,36
Des Moines-Ames IA,36
Macon GA,35
Little Rock-Pine Bluff AR,35
Columbus GA,35
Wheeling WV-Steubenville OH,35
Beaumont-Port Arthur TX,35
Jackson MS,35
El Paso TX,35
Harlingen-Weslaco-Brownsville-McAllen TX,34
Ft. Wayne IN,34
Terre Haute IN,34
Augusta GA,33
Memphis TN,33
Montgomery (Selma) AL,33
Columbus-Tupelo-West Point MS,32
Columbia SC,32
Amarillo TX,30
Lafayette LA,28
Sioux Falls(Mitchell) SD,27
Parkersburg WV,
Monroe LA-El Dorado AR,
Cheyenne WY-Scottsbluff NE,
Rapid City SD,
Bluefield-Beckley-Oak Hill WV,
Helena MT,
Lima OH,
Great Falls MT,
Alpena MI,
Grand Junction-Montrose CO,
Juneau AK,
Presque Isle ME,
Glendive MT,
Fairbanks AK,
Zanesville OH,
Eureka CA,
North Platte NE,
Mankato MN,
Jonesboro AR,
Dothan AL,
Meridian MS,
Hattiesburg-Laurel MS,
Sioux City IA,
Victoria TX,
Albany GA,
Ottumwa IA-Kirksville MO,
Abilene-Sweetwater TX,
San Angelo TX,
St. Joseph MO,
Greenwood-Greenville MS,
Alexandria LA,
Jackson TN,
Twin Falls ID,
