Category: All categories

DMA,wuhan virus: (1/1/20 - 12/31/21)
San Francisco-Oakland-San Jose CA,100
Lafayette IN,85
Honolulu HI,80
Seattle-Tacoma WA,77
Fairbanks AK,77
Anchorage AK,70
Los Angeles CA,67
Casper-Riverton WY,64
Santa Barbara-Santa Maria-San Luis Obispo CA,63
San Diego CA,62
Chico-Redding CA,61
Burlington VT-Plattsburgh NY,58
Monterey-Salinas CA,57
New York NY,57
Portland OR,55
Las Vegas NV,54
Butte-Bozeman MT,53
Yakima-Pasco-Richland-Kennewick WA,53
Boston MA-Manchester NH,53
Medford-Klamath Falls OR,52
Madison WI,52
Rochester MN-Mason City IA-Austin MN,50
Spokane WA,50
Albuquerque-Santa Fe NM,50
Palm Springs CA,50
Rochester NY,49
Alexandria LA,48
Montgomery (Selma) AL,48
Detroit MI,48
Denver CO,48
Sacramento-Stockton-Modesto CA,48
Charlottesville VA,47
Eugene OR,47
Columbia-Jefferson City MO,47
Bakersfield CA,46
Syracuse NY,46
Austin TX,46
Minneapolis-St. Paul MN,46
"Billings, MT",46
San Angelo TX,46
Tucson (Sierra Vista) AZ,45
Roanoke-Lynchburg VA,45
Missoula MT,45
Odessa-Midland TX,45
Providence RI-New Bedford MA,45
Washington DC (Hagerstown MD),45
Springfield-Holyoke MA,45
Wausau-Rhinelander WI,44
Johnstown-Altoona PA,44
Phoenix AZ,44
Utica NY,43
Clarksburg-Weston WV,43
Springfield MO,43
Boise ID,43
Wilkes Barre-Scranton PA,43
Columbus OH,43
Buffalo NY,43
Peoria-Bloomington IL,43
Wichita-Hutchinson KS,42
Lansing MI,42
Beaumont-Port Arthur TX,42
Gainesville FL,42
Hartford & New Haven CT,42
Indianapolis IN,41
West Palm Beach-Ft. Pierce FL,41
Chicago IL,41
Eureka CA,41
Ft. Myers-Naples FL,41
Cleveland-Akron (Canton) OH,41
Champaign & Springfield-Decatur IL,41
Wichita Falls TX & Lawton OK,41
Pittsburgh PA,41
Philadelphia PA,41
Salt Lake City UT,40
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40
Harrisburg-Lancaster-Lebanon-York PA,40
Bangor ME,40
Portland-Auburn ME,39
Elmira NY,39
Waco-Temple-Bryan TX,39
Reno NV,38
Traverse City-Cadillac MI,38
Miami-Ft. Lauderdale FL,38
Mobile AL-Pensacola (Ft. Walton Beach) FL,38
Houston TX,38
Bluefield-Beckley-Oak Hill WV,38
St. Louis MO,38
Minot-Bismarck-Dickinson(Williston) ND,37
Rapid City SD,37
Wheeling WV-Steubenville OH,37
Grand Rapids-Kalamazoo-Battle Creek MI,37
Panama City FL,37
Milwaukee WI,37
Knoxville TN,37
Colorado Springs-Pueblo CO,37
Fargo-Valley City ND,37
Toledo OH,37
Greensboro-High Point-Winston Salem NC,36
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,36
Orlando-Daytona Beach-Melbourne FL,36
Dallas-Ft. Worth TX,36
Mankato MN,36
Kansas City MO,36
South Bend-Elkhart IN,36
Twin Falls ID,36
Charleston-Huntington WV,36
Sherman TX-Ada OK,36
Atlanta GA,35
Oklahoma City OK,35
La Crosse-Eau Claire WI,35
Raleigh-Durham (Fayetteville) NC,35
Tampa-St. Petersburg (Sarasota) FL,35
Green Bay-Appleton WI,35
Watertown NY,35
Omaha NE,35
San Antonio TX,35
Charlotte NC,35
Wilmington NC,34
Amarillo TX,34
Jacksonville FL,34
Ft. Smith-Fayetteville-Springdale-Rogers AR,33
Rockford IL,33
Huntsville-Decatur (Florence) AL,33
Flint-Saginaw-Bay City MI,33
Birmingham AL,33
Cincinnati OH,33
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,33
Tulsa OK,33
Youngstown OH,33
Dayton OH,33
Des Moines-Ames IA,33
Erie PA,33
New Orleans LA,33
Duluth MN-Superior WI,33
Chattanooga TN,32
Norfolk-Portsmouth-Newport News VA,32
Bowling Green KY,32
Salisbury MD,32
Albany-Schenectady-Troy NY,32
Idaho Falls-Pocatello ID,32
Columbia SC,32
Lincoln & Hastings-Kearney NE,32
Fresno-Visalia CA,31
Nashville TN,31
Davenport IA-Rock Island-Moline IL,31
Topeka KS,31
Dothan AL,31
Bend OR,30
Richmond-Petersburg VA,30
Harrisonburg VA,30
Baltimore MD,30
Louisville KY,30
Little Rock-Pine Bluff AR,30
Binghamton NY,29
Lexington KY,29
Savannah GA,29
El Paso TX,28
Corpus Christi TX,28
Sioux Falls(Mitchell) SD,28
Columbus GA,28
Tallahassee FL-Thomasville GA,28
Augusta GA,28
Tri-Cities TN-VA,27
Memphis TN,27
Abilene-Sweetwater TX,27
