GEOID,n,hateful_tweets,users,hateful_users,truncated_tweets,quote_tweets,monthly_variation,weekly_variation,hate_interest,vics
21007,0,0,0,0,0,0,0,0,6.837606838,0
21017,67,0,29,0,34,16,0.961538462,0.9375,7.692307692,0
21031,0,0,0,0,0,0,0,0,5.982905983,0
21065,3,0,2,0,2,0,0.5,0.5,7.692307692,0
21069,5,0,4,0,3,1,0.5,0,7.692307692,0
21093,23000,30,4534,8,10510,8921,0.997584249,0.999660441,8.547008547,0
21099,7,0,4,0,5,1,0.666666667,0.5,5.982905983,0
21131,0,0,0,0,0,0,0,0,8.547008547,0
21151,2499,2,228,2,1126,978,0.998452012,0.995283019,7.692307692,0
21155,28,0,11,0,17,3,0.916666667,0.75,8.547008547,0
21179,446,2,56,1,240,314,0.98974359,0.98245614,8.547008547,0
17091,713,0,180,0,302,205,0.996,0.988636364,13.67521368,0
17187,163,0,26,0,67,47,0.970588235,0.956521739,7.692307692,0
17197,6537,2,1474,2,2483,2902,0.996981132,0.999037536,13.67521368,0
18027,16,0,10,0,7,5,0.857142857,0.666666667,5.982905983,0
18061,36,0,16,0,8,11,0.941176471,0.857142857,8.547008547,0
1001,15208,16,3691,12,6041,6197,0.996525238,0.999489275,6.837606838,0
1005,116,1,17,1,99,17,0.930232558,0.958333333,8.547008547,0
1023,0,0,0,0,0,0,0,0,2.564102564,0
1035,3,0,2,0,1,0,0,0,7.692307692,0
1051,244,0,99,0,93,81,0.990196078,0.96875,6.837606838,0
1055,508,0,147,0,225,176,0.990430622,0.985074627,8.547008547,0
1065,7,0,5,0,5,1,0.666666667,0.5,8.547008547,0
1089,4663,3,861,3,1609,1929,0.995101041,0.99822695,8.547008547,0
1113,448,0,93,0,227,193,0.9921875,0.984126984,8.547008547,0
1117,4021,1,850,1,1680,1692,0.995759717,0.996233522,8.547008547,0
5011,20,0,6,0,11,8,0.833333333,0.666666667,7.692307692,0
5015,8,0,4,0,3,1,0.75,0.5,8.547008547,0
5019,115,0,49,0,41,39,0.97826087,0.944444444,7.692307692,0
5025,0,0,0,0,0,0,0,0,7.692307692,0
5063,72,0,36,0,20,26,0.965517241,0.923076923,7.692307692,0
5067,23,0,10,0,14,3,0.875,0.8,7.692307692,0
5121,91,0,9,0,42,25,0.972222222,0.941176471,4.273504274,0
6001,44287,20,6659,14,19120,17905,0.997351564,0.999664767,14.52991453,7
6003,0,0,0,0,0,0,0,0,8.547008547,0
6005,77,0,26,0,38,20,0.958333333,0.9,11.11111111,0
6013,19351,19,3258,10,7193,8830,0.99714856,0.999236932,14.52991453,3
6019,55060,29,13212,20,23888,20032,0.994379043,0.999713015,9.401709402,3
6023,982,0,206,0,473,331,0.995024876,0.993548387,5.128205128,0
6033,192,0,48,0,94,60,0.987341772,0.964285714,14.52991453,0
6037,345445,231,51941,120,145119,119103,0.99706845,0.999633115,16.23931624,14
6047,1792,0,489,0,575,634,0.991780822,0.996621622,9.401709402,0
6057,548,0,200,0,292,172,0.98816568,0.966101695,11.11111111,0
6081,15297,3,2894,3,6067,6697,0.998352554,0.999468933,14.52991453,0
6085,37168,19,6306,13,16279,13707,0.997116331,0.999177293,14.52991453,2
6115,528,1,84,1,227,113,0.972413793,0.960784314,11.11111111,0
8013,6777,3,1283,3,3333,2443,0.996311475,0.99875,11.96581197,0
8029,57,0,13,0,15,31,0.9,0.857142857,11.96581197,0
8049,67,0,36,0,27,21,0.966666667,0.947368421,11.96581197,0
8077,1717,2,192,2,818,873,0.992217899,0.994845361,4.273504274,0
8083,112,0,18,0,64,32,0.911764706,0.882352941,8.547008547,0
8091,2,0,2,0,0,0,0,0,11.96581197,0
9009,24446,12,3399,9,10719,9461,0.998061264,0.999632218,11.11111111,1
11001,81240,38,11059,25,40191,32474,0.997124645,0.999579611,12.82051282,0
12009,6760,11,1255,4,3112,2578,0.995742869,0.99751861,11.11111111,0
12023,476,1,75,1,222,220,0.994845361,0.985915493,9.401709402,0
12039,40,0,20,0,20,3,0.947368421,0.833333333,8.547008547,0
12055,487,1,62,1,339,118,0.991735537,0.989130435,11.96581197,0
12065,9,0,1,0,3,0,0.2,0.5,8.547008547,0
12073,8962,3,1603,3,3413,3924,0.996186325,0.999166667,8.547008547,0
12095,33268,18,6556,14,14147,12215,0.996505533,0.999289268,11.11111111,0
12107,97,0,33,0,36,17,0.777777778,0.923076923,9.401709402,0
12123,13,0,7,0,4,9,0.857142857,0.75,8.547008547,0
12127,9481,4,1504,4,4057,4246,0.999001996,0.999055713,11.11111111,0
12131,387,0,215,0,181,115,0.985185185,0.982142857,5.128205128,0
12133,14,0,7,0,8,3,0.833333333,0.666666667,5.128205128,0
13009,260,0,69,0,102,83,0.984962406,0.985294118,6.837606838,0
13027,14,0,5,0,1,5,0.857142857,0.666666667,8.547008547,0
13103,85,0,28,0,33,39,0.972222222,0.923076923,8.547008547,0
13121,58436,32,11502,17,24648,20821,0.995485327,0.998605689,11.96581197,0
13141,4,0,3,0,1,1,0.5,0,6.837606838,0
13149,1,1,1,1,0,0,0,0,11.96581197,0
13179,529,0,126,0,124,180,0.995901639,0.987012987,8.547008547,0
13183,5,0,4,0,1,3,0.5,0,8.547008547,0
13189,90,0,14,0,39,10,0.976744186,0.956521739,6.837606838,0
13209,0,0,0,0,0,0,0,0,8.547008547,0
13229,15,0,7,0,3,8,0.5,0.5,9.401709402,0
13267,46,0,16,0,20,25,0.944444444,0.9,8.547008547,0
13271,32,0,7,0,7,20,0.923076923,0.833333333,6.837606838,0
13291,1,0,1,0,0,1,0,0,11.96581197,0
13305,230,1,14,1,68,201,0.99122807,0.971428571,8.547008547,0
13319,78277,211,15055,38,27786,33142,0.99586202,0.998521148,6.837606838,0
16015,1,0,1,0,1,0,0,0,8.547008547,0
16023,0,0,0,0,0,0,0,0,7.692307692,0
16025,1,0,1,0,1,0,0,0,8.547008547,0
